"gene_id","gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1700088E04Rik","1700088E04Rik",70.7427645345621,0.00114894595519782,0.047377934437084,NA,0.9280705280813,NA
"1700096K18Rik","1700096K18Rik",35.4355014145148,0.00587616437442817,0.0531833665579752,NA,0.50866421786699,NA
"1700101I11Rik","1700101I11Rik",23.9128552193994,-0.00583589731615759,0.0534657669145544,NA,0.497826355148768,NA
"1700102P08Rik","1700102P08Rik",10.0847318934364,0.00700229022506419,0.0573608813245072,NA,0.227524045036025,NA
"1700109H08Rik","1700109H08Rik",52.2499581614655,0.0112760249540096,0.0526632241467448,NA,0.332510164930501,NA
"1700112J16Rik","1700112J16Rik",20.4263119204357,0.00578653905402795,0.0530873749251552,NA,0.517775633428644,NA
"1700113A16Rik","1700113A16Rik",18.1200587989572,-0.0101169598374319,0.0563160655710076,NA,0.229883569838627,NA
"1700120C14Rik","1700120C14Rik",18.0592282385745,-0.0102785589042642,0.0568299161005702,NA,0.208600144240805,NA
"1700123M08Rik","1700123M08Rik",39.2314288851551,-0.0046899846147231,0.0513916862940395,NA,0.644377695450394,NA
"1700123O20Rik","1700123O20Rik",224.277603967228,0.00134812192553648,0.0413344116152757,NA,0.929215830074072,0.990388357861542
"1700124L16Rik","1700124L16Rik",18.3043977681264,-0.0130562705320634,0.0609119633844712,NA,0.0904009270905051,NA
"1810009A15Rik","1810009A15Rik",145.641022715573,-0.00267628735783493,0.0427858947735353,NA,0.857104629000809,NA
"1810010H24Rik","1810010H24Rik",49.0070765857541,0.0129441315372574,0.0541994045041009,NA,0.256014444114119,NA
"1810013L24Rik","1810013L24Rik",1053.76303335948,-0.0089152523805506,0.0345032629507592,NA,0.576697745529868,0.92380584972228
"1810020O05Rik","1810020O05Rik",56.9236820437648,0.0128773819999958,0.0526342753017543,NA,0.298274135610915,NA
"1810021B22Rik","1810021B22Rik",17.4367458342991,-0.00218985849545422,0.0530190775189451,NA,0.783295830101219,NA
"1810030O07Rik","1810030O07Rik",418.371076424216,0.0161029066574736,0.0431207559362676,NA,0.344306651262548,0.837098074573693
"1810037I17Rik","1810037I17Rik",633.193456846185,-0.0223859136519864,0.0471118867868287,NA,0.214017178349463,0.729018771747701
"1810055G02Rik","1810055G02Rik",277.096537612061,0.00973557685526653,0.040934159479163,NA,0.545129063771047,0.913145024364907
"1810058I24Rik","1810058I24Rik",189.921341249923,-0.00722228431772763,0.0430236465889205,NA,0.636835810111521,0.94076981494756
"1810059H22Rik","1810059H22Rik",21.9206060359925,0.00954803893818401,0.0555098010088172,NA,0.271558865493193,NA
"2010001A14Rik","2010001A14Rik",41.3434112387473,-0.0164531719808789,0.0567290473438346,NA,0.160099245555164,NA
"2010001K21Rik","2010001K21Rik",14.13505941207,-0.0105790497486776,0.0586992852028527,NA,0.143698036252139,NA
"2010007H06Rik","2010007H06Rik",21.2363670016561,0.00148817381065235,0.0531240748899984,NA,0.847416840320182,NA
"2010204K13Rik","2010204K13Rik",168.365107921635,0.000893322607289781,0.0438967784125477,NA,0.950590757233249,NA
"2010315B03Rik","2010315B03Rik",295.224399875862,0.0315432678777656,0.0544180923163613,NA,0.102981368609366,0.580026281828534
"2010320M18Rik","2010320M18Rik",67.379697089043,0.00496340813077634,0.0500024582820181,NA,0.662822696696345,NA
"2210016F16Rik","2210016F16Rik",162.20713168116,0.00709820488292265,0.0468371212659881,NA,0.60819068644123,NA
"2210016L21Rik","2210016L21Rik",1647.34772538826,-0.040826777636061,0.0424377477007427,NA,0.0577498357122469,0.462563353065126
"2210406O10Rik","2210406O10Rik",34.8744059825246,0.00556886482753925,0.0507572348620967,NA,0.610603858864595,NA
"2210408F21Rik","2210408F21Rik",217.257603168129,-0.0025117537873216,0.042801829677313,NA,0.865671986784648,0.979952182623775
"2210408I21Rik","2210408I21Rik",203.167146543668,-0.0148536994569535,0.0501550309468575,NA,0.308439782751034,0.812155154627176
"2210418O10Rik","2210418O10Rik",106.924768890854,-0.000401129858840302,0.0571107497184,NA,0.853742498862429,NA
"2300009A05Rik","2300009A05Rik",130.897480596474,0.0121476346790282,0.0459881907020455,NA,0.431106224697762,NA
"2310002F09Rik","2310002F09Rik",15.0071358349416,-0.00596992639818771,0.0545918843130835,NA,0.431985660268711,NA
"2310009B15Rik","2310009B15Rik",125.038956370945,-0.00839240920115149,0.0465604147129984,NA,0.556312326252561,NA
"2310010J17Rik","2310010J17Rik",55.7953196479174,-0.00894224516005158,0.0502881287557256,NA,0.468490911002442,NA
"2310011J03Rik","2310011J03Rik",384.851059496231,-0.0606384383464363,0.066539827898785,NA,0.0187863539951001,0.28454587420104
"2310015A10Rik","2310015A10Rik",109.228549779959,0.00885464066793923,0.0473618706008253,NA,0.527131349953493,NA
"2310022A10Rik","2310022A10Rik",351.298392607403,-0.0578671933839471,0.0625081962398869,NA,0.0236539087001931,0.31338580975925
"2310022B05Rik","2310022B05Rik",1394.33690050636,-0.00341298602386352,0.027509540552712,NA,0.811344270633039,0.969715232626945
"2310030G06Rik","2310030G06Rik",30.7011327293149,-0.013244008273083,0.0565139796392149,NA,0.188421289819926,NA
"2310033P09Rik","2310033P09Rik",159.335364185352,-0.00502177782470165,0.0453235368296139,NA,0.72321784136942,NA
"2310039H08Rik","2310039H08Rik",35.4970807584845,0.00125206737717916,0.0505648726614494,NA,0.903527393326413,NA
"2310040G24Rik","2310040G24Rik",14.818319424237,-0.00536338066304162,0.0543692263197219,NA,0.476681119298955,NA
"2310057M21Rik","2310057M21Rik",472.876001905565,-0.00901990868906596,0.0356579844290186,NA,0.575212912369846,0.923518985215313
"2310058D17Rik","2310058D17Rik",58.1599287649196,0.0157001362169664,0.0545418901722889,NA,0.211729820223234,NA
"2310061I04Rik","2310061I04Rik",708.368002975343,0.0204377770425496,0.0406852570227719,NA,0.255026270363246,0.77078779343518
"2410002F23Rik","2410002F23Rik",1073.46478776559,-0.0852708355634869,0.0579324240705446,NA,0.00548478985424305,0.149710161061067
"2410004B18Rik","2410004B18Rik",440.475834650874,0.0268509587739116,0.0461860754212417,NA,0.162908121884368,0.667043401970126
"2410004P03Rik","2410004P03Rik",48.0735257118628,0.0236132091603321,0.0629811321153856,NA,0.0639521143816101,NA
"2410006H16Rik","2410006H16Rik",242.237356220636,-0.00466354142676808,0.0427809448641462,NA,0.756372208269031,0.960490143848235
"2410018L13Rik","2410018L13Rik",25.5274631122569,-0.00481632251854414,0.0536693136006848,NA,0.547840229115377,NA
"2410022M11Rik","2410022M11Rik",41.2247447770623,-0.00918016737474179,0.0524041419115367,NA,0.399878144867863,NA
"2500002B13Rik","2500002B13Rik",16.0634975564097,-0.000576858653593131,0.0528153392756767,NA,0.942542721813503,NA
"2500004C02Rik","2500004C02Rik",102.487798380496,-0.00518892686681751,0.0458452749735631,NA,0.710345879979956,NA
"2510002D24Rik","2510002D24Rik",162.271900887758,-0.0185735358294785,0.0489140298289649,NA,0.257731322537804,NA
"2510009E07Rik","2510009E07Rik",1263.19585030595,-0.00472299305058099,0.0274432824117423,NA,0.741134480687852,0.959915205412455
"2510039O18Rik","2510039O18Rik",366.865149193964,-0.0197175117713614,0.0464952432900593,NA,0.256834085740249,0.771919993312864
"2600014E21Rik","2600014E21Rik",54.2978975367811,-0.00951893331521811,0.0510391029903258,NA,0.428883482269219,NA
"2610002M06Rik","2610002M06Rik",1321.53107945354,-0.00779351752313345,0.0326156389074211,NA,0.61781755621969,0.935677058916018
"2610008E11Rik","2610008E11Rik",595.557078438973,0.0739733212635494,0.0628918093203075,NA,0.0106789286738651,0.220172146307805
"2610020C07Rik","2610020C07Rik",20.6758292943958,0.0104035624169912,0.056110655630374,NA,0.233418215397128,NA
"2610021A01Rik","2610021A01Rik",453.251988963913,0.0102036838615583,0.0449618947735858,NA,0.504620553888387,0.899773202249332
"2610028E06Rik","2610028E06Rik",14.2592744568168,-0.00032384402104473,0.0544677247382239,NA,0.956985351451572,NA
"2610035D17Rik","2610035D17Rik",225.041181492517,-0.0033134227803306,0.0423517297173358,NA,0.825497886526361,0.974018958282691
"2610037D02Rik","2610037D02Rik",49.2604967772883,-0.00218817675396255,0.0515025762921816,NA,0.818684576815272,NA
"2610042L04Rik","2610042L04Rik",12.5172508869361,0.00187804677770227,0.0538070934574041,NA,0.788580205389858,NA
"2610044O15Rik8","2610044O15Rik8",341.99912139635,0.0138002903009642,0.0401584831388135,NA,0.411723122700311,0.862526516291431
"2610306M01Rik","2610306M01Rik",66.0663914411987,0.00322848376387199,0.0491732151965334,NA,0.782446026102704,NA
"2610316D01Rik","2610316D01Rik",85.4935472853568,0.0011831438789688,0.0484203167195045,NA,0.921731812425627,NA
"2610507B11Rik","2610507B11Rik",4564.69706357739,0.00105910342252819,0.0286913911479587,NA,0.942166284394726,0.990388357861542
"2610507I01Rik","2610507I01Rik",369.068082130127,0.00459055559388873,0.0361074454916752,NA,0.771239024484037,0.962859053729145
"2700029L08Rik","2700029L08Rik",11.4580802446886,0.00494085601821185,0.0565678560784697,NA,0.339466030063457,NA
"2700038G22Rik","2700038G22Rik",17.560891589675,0.0199508495648258,0.0689820612766523,NA,0.0302098528442125,NA
"2700046A07Rik","2700046A07Rik",15.5066610353639,-0.00242832739447028,0.0535495257935057,NA,0.743292209070628,NA
"2700046G09Rik","2700046G09Rik",52.0606562643304,-0.00548758682905197,0.0504289396830838,NA,0.623470968507771,NA
"2700049A03Rik","2700049A03Rik",136.683069838327,0.0916055380053193,0.108959582646043,NA,0.00177548618540352,NA
"2700054A10Rik","2700054A10Rik",73.0462347000691,0.0121019372310388,0.0501760944841003,NA,0.371361593358049,NA
"2700062C07Rik","2700062C07Rik",155.416678401588,-0.0128309990369545,0.0453596827579312,NA,0.416795909699048,NA
"2700097O09Rik","2700097O09Rik",194.163029875399,0.00911006917963626,0.0434446789122513,NA,0.556892586631595,0.91575190947839
"2810001G20Rik","2810001G20Rik",139.108914329058,-0.00795865135471598,0.0457844671624042,NA,0.583169855728442,NA
"2810002D19Rik","2810002D19Rik",71.1760093489243,0.00657570286589796,0.0489828508782934,NA,0.598787469240485,NA
"2810004N23Rik","2810004N23Rik",275.727412611292,0.0213888521204146,0.0456038317019126,NA,0.233996218451471,0.750733423269787
"2810013P06Rik","2810013P06Rik",323.734915211367,0.00317589150836834,0.0386007798710565,NA,0.839227537648117,0.976087108956037
"2810021J22Rik","2810021J22Rik",212.028407618355,0.0145500309062705,0.0442076569685968,NA,0.377954947281655,0.852026512554578
"2810025M15Rik","2810025M15Rik",171.736206757818,-0.0103111859002647,0.0451275932292964,NA,0.499319219416006,NA
"2810029C07Rik","2810029C07Rik",154.811479859308,0.0110782909458118,0.0471282266523967,NA,0.451320372696727,NA
"2810032G03Rik","2810032G03Rik",123.657424312005,-0.00318205089723151,0.0443581599659995,NA,0.824706853490356,NA
"2810039B14Rik","2810039B14Rik",30.8861028099192,4.61226561853933e-05,0.0516039238565497,NA,0.996038228466786,NA
"2810049E08Rik","2810049E08Rik",44.7094058456296,-0.00334104912668014,0.0493294609285412,NA,0.773161520981993,NA
"2810402E24Rik","2810402E24Rik",52.9344198332553,0.0124812850971877,0.0528875661100932,NA,0.299731375209211,NA
"2810403D21Rik","2810403D21Rik",20.4878885773358,-0.00334412447435003,0.0528586010046966,NA,0.690165226449886,NA
"2810405F17Rik","2810405F17Rik",23.5363081474746,-0.00700761394728157,0.0540128594425575,NA,0.415761279766559,NA
"2810407A14Rik","2810407A14Rik",10.3981640640161,-0.00313224793373452,0.0558196193738902,NA,0.530782858817779,NA
"2810410L24Rik","2810410L24Rik",158.977966785843,-0.00605232755644079,0.0459319682920559,NA,0.667140733778387,NA
"2810414N06Rik","2810414N06Rik",27.7117560386568,-0.00691035478882794,0.0529751912590518,NA,0.466558720692552,NA
"2810428J06Rik","2810428J06Rik",14.3864003086423,-0.00085223756144324,0.0532128119141577,NA,0.910312182256794,NA
"2810429I04Rik","2810429I04Rik",112.720417950104,0.00857659846252151,0.0498546977655497,NA,0.492643399083183,NA
"2810455O05Rik","2810455O05Rik",108.161333336587,-0.0151443356672308,0.0517681402267295,NA,0.275329148693463,NA
"2810459M11Rik","2810459M11Rik",194.593128946449,-0.0107082920814459,0.0454154053174194,NA,0.482869107545046,0.89176818667025
"2900005J15Rik","2900005J15Rik",33.5048268291723,0.00680576042192108,0.0514954242929308,NA,0.525243701603683,NA
"2900026A02Rik","2900026A02Rik",1002.52856359035,0.00122461916502194,0.0366972214284183,NA,0.937707659918065,0.990388357861542
"2900040C04Rik","2900040C04Rik",13.7634664342439,0.0103011010516829,0.0601697070036454,NA,0.102587426511061,NA
"2900045O20Rik","2900045O20Rik",12.5794802890521,-0.00501063119704245,0.055219077935375,NA,0.442997819739669,NA
"2900052L18Rik","2900052L18Rik",77.2853203442152,-0.00259160357546728,0.0489846211179425,NA,0.825428042494403,NA
"2900052N01Rik","2900052N01Rik",910.655011331257,0.00714141402473397,0.0375230597085957,NA,0.655224563628726,0.945897029129105
"2900060N12Rik","2900060N12Rik",78.9530273190622,-0.0042068213921341,0.0478115746696486,NA,0.741710377764376,NA
"2900064F13Rik","2900064F13Rik",50.9350251738631,-0.00580860977171586,0.0502492962372692,NA,0.610442213414943,NA
"2900076A07Rik","2900076A07Rik",149.8183131018,-0.00378267088330663,0.0426370561378725,NA,0.80074690623461,NA
"2900079G21Rik","2900079G21Rik",82.3779985251425,-0.0077397941753118,0.0488669166201147,NA,0.547817200888897,NA
"2900089D17Rik","2900089D17Rik",18.8058492630419,-0.0112510458015551,0.0575212716379086,NA,0.175962833392224,NA
"2900093K20Rik","2900093K20Rik",16.5013557399612,0.00503968814113368,0.053893873737131,NA,0.522140947617051,NA
"3000002C10Rik","3000002C10Rik",69.0646008199186,0.0309819840791991,0.0674108522520457,NA,0.0381847591640937,NA
"3010001F23Rik","3010001F23Rik",14.1967301667488,-0.000707358537287905,0.0541151471052191,NA,0.912952896249375,NA
"3110039M20Rik","3110039M20Rik",31.1335677636372,-0.0134310636527516,0.0554794011362938,NA,0.214440251929086,NA
"3110040N11Rik","3110040N11Rik",71.0488787787676,-0.00625728246458901,0.0495851821713404,NA,0.6023019370579,NA
"3110045C21Rik","3110045C21Rik",12.4547525460645,-0.00293815567096702,0.0548334107811181,NA,0.62855918703633,NA
