"gene_id","rsq","cluster"
"Slc29a3",NA,2
"Slc35a2",NA,5
"Slc35e4",NA,4
"Slc36a4",NA,2
"Slc39a3",NA,4
"Slc39a7",NA,4
"Slc44a1",NA,1
"Slc6a7",NA,4
"Slc7a10",NA,3
"Slc7a3",NA,5
"Slc9a3r1",NA,5
"Slc9a5",NA,3
"Slc9a9",NA,1
"Slfn8",NA,1
"Smarce1",NA,3
"Smc5",NA,2
"Smc6",NA,2
"Smdt1",NA,3
"Smim12",NA,5
"Smim30",NA,4
"Smim45",NA,5
"Smpd1",NA,5
"Smyd3",NA,1
"Snrpb",NA,4
"Snx15",NA,5
"Sox4",NA,3
"Sp100",NA,1
"Spag6",NA,1
"Spata13",NA,1
"Spata7",NA,2
"Spr",NA,5
"Spryd3",NA,4
"Srp19",NA,3
"Ssr2",NA,4
"Stat1",NA,1
"Stat6",NA,1
"Stk32c",NA,5
"Stmn3",NA,3
"Stub1",NA,4
"Stxbp2",NA,1
"Stxbp3",NA,2
"Supt16",NA,2
"Surf2",NA,2
"Svop",NA,4
"Syngr3",NA,5
"Syp",NA,4
"Syt13",NA,5
"Szrd1",NA,4
"Tab2",NA,2
"Taf15",NA,4
"Tango2",NA,3
"Tap2",NA,1
"Tbc1d10a",NA,3
"Tceal5",NA,4
"Tdg",NA,3
"Tdrd6",NA,2
"Tent5c",NA,1
"Tesk1",NA,5
"Tfcp2l1",NA,1
"Tgfbr1",NA,1
"Tgfbr3",NA,1
"Thbd",NA,5
"Thbs2",NA,1
"Thy1",NA,5
"Tifa",NA,2
"Timm10",NA,4
"Tjp2",NA,2
"Tlcd3b",NA,5
"Tlk1",NA,2
"Tlnrd1",NA,3
"Tlr1",NA,2
"Tlr13",NA,1
"Tlr2",NA,1
"Tlr3",NA,2
"Tm7sf2",NA,4
"Tma16",NA,2
"Tmc3",NA,1
"Tmed9",NA,4
"Tmem106b",NA,2
"Tmem115",NA,3
"Tmem127",NA,4
"Tmem132a",NA,3
"Tmem147",NA,5
"Tmem151b",NA,5
"Tmem161a",NA,4
"Tmem179",NA,4
"Tmem191c",NA,4
"Tmem192",NA,2
"Tmem198",NA,5
"Tmem208",NA,5
"Tmem240",NA,4
"Tmem243",NA,2
"Tmem259",NA,5
"Tmem35a",NA,5
"Tmem59l",NA,4
"Tmf1",NA,2
"Tmsb15b2",NA,3
"Tnfrsf1a",NA,1
"Tnpo2",NA,4
"Tomm20",NA,2
"Tomm40l",NA,5
"Tram1l1",NA,4
"Trappc12",NA,2
"Trem2",NA,1
"Treml2",NA,1
"Trim12a",NA,2
"Trim25",NA,1
"Trim30d",NA,1
"Trim62",NA,3
"Trim8",NA,5
"Tsen34",NA,4
"Tsfm",NA,5
"Tspyl1",NA,4
"Tspyl4",NA,4
"Ttyh3",NA,5
"Tubb2a",NA,4
"Tubb3",NA,4
"Tubgcp2",NA,2
"Tufm",NA,3
"Txn2",NA,5
"Txndc15",NA,3
"U2af2",NA,3
"Uba7",NA,1
"Ubald1",NA,5
"Ubb",NA,5
"Ubb-ps",NA,4
"Ube2b",NA,5
"Ube2s",NA,3
"Ubl4a",NA,3
"Ufl1",NA,2
"Umps",NA,3
"Uqcc2",NA,4
"Uqcr11",NA,4
"Uqcrq",NA,4
"Usp21",NA,3
"Usp5",NA,4
"Usp7",NA,2
"Vapb",NA,4
"Vav1",NA,1
"Vim",NA,1
"Vmn1r90",NA,1
"Vopp1",NA,5
"Vps33a",NA,2
"Vps37d",NA,4
"Vwa5a",NA,1
"Vwf",NA,1
"Wbp1",NA,5
"Wdr18",NA,4
"Wnt7a",NA,3
"Wwox",NA,2
"Wwp1",NA,2
"Xaf1",NA,1
"Ydjc",NA,4
"Yipf3",NA,5
"Ypel3",NA,3
"Ypel4",NA,5
