"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,0.0251510742993435,139,53,3,0.0566037735849057,0.0215827338129496,"GO:1903038","GO:BP","negative regulation of leukocyte cell-cell adhesion",25907,22399,"GO:0007159;GO:0022408;GO:1903037"
"query_1",TRUE,0.0251620160789303,290,53,4,0.0754716981132075,0.0137931034482759,"GO:0007162","GO:BP","negative regulation of cell adhesion",25907,2713,"GO:0007155;GO:0030155;GO:0048523"
"query_1",TRUE,0.0257933588781929,40,53,2,0.0377358490566038,0.05,"GO:1905332","GO:BP","positive regulation of morphogenesis of an epithelium",25907,24152,"GO:0002009;GO:0051094;GO:1905330"
"query_1",TRUE,0.0257933588781929,40,53,2,0.0377358490566038,0.05,"GO:0001782","GO:BP","B cell homeostasis",25907,445,"GO:0002260"
"query_1",TRUE,0.0257933588781929,40,53,2,0.0377358490566038,0.05,"GO:0060338","GO:BP","regulation of type I interferon-mediated signaling pathway",25907,14341,"GO:0001959;GO:0045088;GO:0060337"
"query_1",TRUE,0.0260348196660062,2103,53,11,0.207547169811321,0.00523062291963861,"GO:0008283","GO:BP","cell population proliferation",25907,3136,"GO:0009987"
"query_1",TRUE,0.0260766810389281,1216,53,8,0.150943396226415,0.00657894736842105,"GO:0010628","GO:BP","positive regulation of gene expression",25907,4257,"GO:0010467;GO:0010468;GO:0010557"
"query_1",TRUE,0.0262772634125462,143,53,3,0.0566037735849057,0.020979020979021,"GO:0003158","GO:BP","endothelium development",25907,1586,"GO:0060429"
"query_1",TRUE,0.0268443993551055,5759,53,21,0.39622641509434,0.00364646640041674,"GO:0048519","GO:BP","negative regulation of biological process",25907,12635,"GO:0008150;GO:0050789"
"query_1",TRUE,0.0273175111527111,493,53,5,0.0943396226415094,0.0101419878296146,"GO:0051249","GO:BP","regulation of lymphocyte activation",25907,13414,"GO:0002694;GO:0046649"
"query_1",TRUE,0.0274086321042819,42,53,2,0.0377358490566038,0.0476190476190476,"GO:0042771","GO:BP","intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator",25907,10263,"GO:0008630;GO:0072332"
"query_1",TRUE,0.0274086321042819,42,53,2,0.0377358490566038,0.0476190476190476,"GO:0070269","GO:BP","pyroptotic inflammatory response",25907,15805,"GO:0006954"
"query_1",TRUE,0.0291625413574394,307,53,4,0.0754716981132075,0.0130293159609121,"GO:0045765","GO:BP","regulation of angiogenesis",25907,11439,"GO:0001525;GO:0022603;GO:1901342"
"query_1",TRUE,0.0291808519859127,2,53,1,0.0188679245283019,0.5,"GO:1902216","GO:BP","positive regulation of interleukin-4-mediated signaling pathway",25907,21824,"GO:0001961;GO:0035771;GO:1902214"
"query_1",TRUE,0.0291808519859127,1543,53,9,0.169811320754717,0.00583279325988334,"GO:2000026","GO:BP","regulation of multicellular organismal development",25907,24952,"GO:0007275;GO:0050793;GO:0051239"
"query_1",TRUE,0.0291808519859127,1539,53,9,0.169811320754717,0.00584795321637427,"GO:0016477","GO:BP","cell migration",25907,5204,"GO:0048870"
"query_1",TRUE,0.0291808519859127,2,53,1,0.0188679245283019,0.5,"GO:1903971","GO:BP","positive regulation of response to macrophage colony-stimulating factor",25907,23078,"GO:0036005;GO:0060760;GO:1903969"
"query_1",TRUE,0.0291808519859127,2,53,1,0.0188679245283019,0.5,"GO:0042496","GO:BP","detection of diacyl bacterial lipopeptide",25907,10131,"GO:0070340;GO:0071724"
